,series_title,Dictionary_liwc_social,Dictionary_liwc_funct
0,Tofu,0.2475858201981185,0.8328453055884368
1,Anne,0.2537624174647552,0.7151864850395574
2,Angry_Boys,0.29626071394932657,0.7061881887538852
3,Crownies,0.2652653414001729,0.7266585998271392
4,Dynasty,0.2862638194759958,0.7260941996062396
5,Jack_Irish,0.2690745754368693,0.7055439330543933
6,Janet_King,0.26878507525770773,0.735541362387583
7,Rake,0.2664077331370346,0.7215625121072411
8,The_Librarians,0.23214068337812405,0.6974473982377122
9,The_Slap,0.2662426769409405,0.7042539716050035
10,The_Straits,0.2977170536742186,0.6882941981449704
11,I_Rock,0.2605242868157286,0.6835774865073246
12,Soul_Mates,0.2606972301814709,0.6827602674307546
13,Charlie,0.25228171585031944,0.7466915120170368
14,Dance_Academy,0.2687425679599569,0.7329581593429385
15,My_Place,0.24970915738740235,0.6221954462356656
16,Nowhere_Boys,0.2431065587507517,0.6617112099135424
17,Arrow,0.26985327123333025,0.723071339660063
18,Barracuda,0.2650081428651654,0.6412085135059247
19,Bed_of_Roses,0.2518064550661029,0.6779068315224179
20,Cleverman,0.2606199173789914,0.6486268804073891
21,Glitch,0.25943375837475685,0.689885454938405
22,Hiding,0.2659821404189082,0.6674403997924575
23,Innocent,0.2883297588533766,0.7543547627765863
24,Mystery_Road,0.2972164294133648,0.7162027382355608
25,Rosehaven,0.24520769355099403,0.6839825440439632
26,Utopia,0.2544659290215014,0.6841911525886148
27,Black-ish,0.2682225992327327,0.6461185749002706
28,Castle,0.27423789246704905,0.7192950418855942
29,Deception,0.25245872589267254,0.6615670870374198
30,Designated_Survivor,0.24752090065341834,0.6958309845736108
31,Desperate_Housewives,0.2675626728694014,0.6790932362868565
32,Dynasty,0.2862638194759958,0.7260941996062396
33,Full_House,0.21574836792269075,0.4773519820550037
34,Home_Improvement,0.2612987461137489,0.6647787035101516
35,Gangsta,0.25560042507970243,0.7298193411264612
36,Lost,0.2798109552529985,0.7014274527044665
37,Modern_Family,0.26297591540472504,0.6733875237790244
38,Quantico,0.2696272799365583,0.745831397359623
39,Roseanne,0.2647386480868295,0.6497244093812385
40,Scandal,0.26620966730173923,0.7223561093880838
41,The_Bachelorette,0.2636367091975723,0.7444344487665193
42,The_Crossing,0.2737069979763754,0.7047390465433667
43,The_Goldbergs,0.26691392287181676,0.6758735240495656
44,The_Middle,0.2665390832475114,0.7121243978513488
45,Threes_Company,0.28345638501503967,0.7888980038282746
46,Black_Dynamite,0.25324774568240865,0.6450196601503342
47,Bleach,0.23439391559083642,0.6813262976961677
48,Childrens_Hospital,0.25027330701488004,0.6535453993319161
49,Eagleheart,0.252886564934372,0.6284067868957421
50,Frisky_Dingo,0.22770680252950665,0.5932307534755114
51,Metalocalypse,0.26062270902044493,0.6781736901502096
52,Mr_Pickles,0.23784410447591553,0.5337455388602214
53,Ntsfsdsuv,0.0,0.0
54,Rick_and_Morty,0.2624394417013046,0.685329316260775
55,Robot_Chicken,0.23853847536331224,0.5760165846767283
56,Samurai_Jack,0.23972252790441753,0.6250589529948122
57,Squidbillies,0.259878208158385,0.6593721324694826
58,Superjail!,0.2389171666619274,0.6067904569624932
59,The_Boondocks,0.27668267232725713,0.6557738662301874
60,Bates_Motel,0.26819964483263675,0.7333562242812153
61,Duck_Dynasty,0.2608168253620809,0.6397158075225274
62,The_Beast,0.15144106607899177,0.3486794531868737
63,The_Cleaner,0.2954923089578021,0.6994982314715802
64,The_Glades,0.2678755057957346,0.7054397760808057
65,Unforgettable,0.27169604788093327,0.6765859529253214
66,Between_the_Lines,0.26715136732492145,0.7197335709930109
67,Scandal,0.26620966730173923,0.7223561093880838
68,Absentia,0.25442684063373716,0.6463545773890601
69,Alpha_House,0.2560065589261148,0.6759862707224545
70,Bosch,0.2576253779882467,0.6443772465339191
71,Casanova,0.26884486750707487,0.6887059428865449
72,Comrade_Detective,0.2660224074762385,0.638400679658047
73,Goliath,0.26072503833368776,0.6638835103584899
74,Hand_of_God,0.2715871904969073,0.690373957289046
75,Lore,0.261515844495263,0.7447457257976696
76,Lost_in_Oz,0.23112976350937386,0.6336539639750031
77,Mad_Dogs,0.27736444375194763,0.7334060454970396
78,Mozart_in_the_Jungle,0.23225070460340894,0.6530079855053013
79,Oasis,0.22955523672883787,0.648493543758967
80,One_Mississippi,0.2663137915363435,0.7122196380356618
81,Patriot,0.2520581287135801,0.6536855417949269
82,Red_Oaks,0.25300847562331663,0.6393535792829079
83,Sneaky_Pete,0.2699542184434271,0.6737824286025725
84,The_After,0.35377358490566035,0.8931603773584905
85,The_Collection,0.27193341191753473,0.6906107916957348
86,The_Mick,0.2568574501504964,0.6368511053165067
87,Transparent,0.2350940660293447,0.6352689683008319
88,Vegas,0.2946402160325957,0.7216003969503526
89,Breaking_Bad,0.2670144794300161,0.7020179269133533
90,Dietland,0.2511106723269819,0.6772139401717839
91,Feed_the_Beast,0.25705854738112804,0.6414727382469319
92,Freakshow,0.2649602261703484,0.7094847418165692
